Thread 65: Line 19240: Jeremiah 11:10	They have returned to the former iniquities of their fathers, who refused to listen to my words. And likewise, they have gone after strange gods, so that they may serve them. The house of Israel and the house of Judah have treated as void my covenant, which I made with their fathers.
Thread 65: Line 19242: Jeremiah 11:12	And the cities of Judah and the inhabitants of Jerusalem will go forth, and they will cry out to the gods, to whom they offer libations, and they will not save them in the time of their affliction.
Thread 65: Line 19243: Jeremiah 11:13	For according to the number of your cities, so were your gods, O Judah. And according to the number of the streets of Jerusalem, so did you establish altars of confusion, altars to offer libations to Baal.
Thread 62: Line 18352: Isaiah 36:18	But you should not let Hezekiah disturb you, saying, ‘The Lord will deliver us.’ Have any of the gods of each of the nations delivered their land from the hand of the king of the Assyrians?
Thread 62: Line 18353: Isaiah 36:19	Where is the god of Hamath and of Arpad? Where is the god of Sepharvaim? Have they freed Samaria from my hand?
Thread 62: Line 18354: Isaiah 36:20	Who is there, among all the gods of these lands, who has rescued his land from my hand, so that the Lord would rescue Jerusalem from my hand?”
Thread 62: Line 18368: Isaiah 37:12	Have the gods of the nations rescued those whom my fathers have conquered: Gozan, and Haran, and Rezeph, and the sons of Eden who were at Telassar?
Thread 62: Line 18375: Isaiah 37:19	And they have cast their gods into the fire. For these were not gods, but the works of men’s hands, of wood and of stone. And they broke them into pieces.
Thread 66: Line 19280: Jeremiah 13:10	This most wicked people, they are not willing to listen to my words, for they walk in the depravity of their own heart, and they have gone after strange gods, so as to serve them and to adore them. And so, they will become like this waistcloth, which is not fit for any use.
Thread 66: Line 19351: Jeremiah 16:11	And you shall say to them: It is because your fathers abandoned me, says the Lord. And they went after strange gods, and they served them and adored them. And they abandoned me, and they did not keep my law.
Thread 66: Line 19353: Jeremiah 16:13	And so, I will cast you out of this land, into a land that you do not know, and that your fathers did not know. And in that place, you will serve, day and night, strange gods who will not give you rest.
Thread 66: Line 19360: Jeremiah 16:20	How can man make gods for himself, though these are not gods?”
